126,"BL  5","vl1","BL",5,163380,156350,""
127,"BL  6","vl1","BL",6,163120,156470,""
128,"BL  7","vl1","BL",7,162900,156540,""
129,"BL  8","vl1","BL",8,162650,156550,""
130,"BL  9","vl1","BL",9,162540,156740,""
131,"BL 10","vl1","BL",10,162420,157060,""
132,"P  1","vl2","P",1,164690,201470,""
133,"P  2","vl2","P",2,165000,200270,""
134,"P  3","vl2","P",3,164740,199730,""
135,"P  4","vl2","P",4,164650,199140,""
136,"P  5","vl2","P",5,164510,198750,""
137,"P  6","vl2","P",6,164320,198350,""
138,"P  7","vl2","P",7,,,""
139,"P  8","vl2","P",8,163700,196830,""
140,"P  9","vl2","P",9,163570,196470,""
141,"P 10","vl2","P",10,163950,195720,""
142,"P 11","vl2","P",11,164250,195350,""
143,"P 12","vl2","P",12,164330,195100,""
144,"P 13","vl2","P",13,164370,194660,""
145,"P 14","vl2","P",14,164840,194260,""
146,"P 15","vl2","P",15,164680,194020,""
147,"P 16","vl2","P",16,164740,193730,""
148,"P 17","vl2","P",17,164700,193200,""
149,"P 18","vl2","P",18,164620,192950,""
150,"P 19","vl2","P",19,164780,192460,""
151,"P 20","vl2","P",20,164910,192140,""
152,"P 21","vl2","P",21,164880,192000,""
153,"P 22","vl2","P",22,164060,191770,""
154,"P 23","vl2","P",23,165200,191710,""
155,"P 24","vl2","P",24,165310,191530,""
156,"P 25","vl2","P",25,165940,190850,""
157,"P 26","vl2","P",26,166050,190600,""
158,"P 27","vl2","P",27,166300,190280,""
159,"P 28","vl2","P",28,166730,189910,""
160,"P 29","vl2","P",29,166700,189510,""
161,"P 30","vl2","P",30,166910,189210,""
162,"P 31","vl2","P",31,167080,188900,""
163,"P 32","vl2","P",32,167280,188070,""
164,"P 33","vl2","P",33,167310,187680,""
165,"P 34","vl2","P",34,167050,187120,""
166,"P 35","vl2","P",35,166460,186630,""
167,"P 36","vl2","P",36,167150,186380,""
168,"P 37","vl2","P",37,167810,186200,""
169,"P 38","vl2","P",38,168070,186320,""
